역명,2017-11-02,2017-11-03,2017-11-04,2017-11-05,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-11,2017-11-12,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-18,2017-11-19,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-25,2017-11-26,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2018-11-01,2018-11-02,2018-11-03,2018-11-04,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-10,2018-11-11,2018-11-12,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-17,2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30
가락시장,41236.0,42917.0,30507.0,22857.0,40893.0,41517.0,42400.0,42211.0,43407.0,31219.0,19490.0,41105.0,42145.0,42302.0,41622.0,43528.0,30342.0,19387.0,40778.0,42158.0,41968.0,41847.0,44916.0,30000.0,19338.0,41569.0,42846.0,42525.0,41854.0,44313.0,42956.0,44695.0,32572.0,23409.0,42317.0,43315.0,42772.0,41420.0,45863.0,33256.0,19627.0,43387.0,44348.0,44919.0,44538.0,46045.0,32701.0,20820.0,42759.0,43458.0,42990.0,44635.0,46116.0,32516.0,20182.0,42727.0,43604.0,43632.0,44167.0,46227.0
가산디지털단지,139129.0,141055.0,61631.0,48282.0,141170.0,140786.0,142085.0,141260.0,139922.0,63714.0,48769.0,140910.0,141617.0,142310.0,140314.0,138908.0,62109.0,48404.0,140797.0,140191.0,140962.0,140524.0,145053.0,59190.0,50867.0,140899.0,140747.0,142058.0,139526.0,140738.0,146011.0,148583.0,63211.0,47306.0,147818.0,146866.0,146061.0,142009.0,147459.0,60802.0,45576.0,147045.0,146616.0,147074.0,144658.0,145042.0,60396.0,46866.0,146608.0,146872.0,145402.0,146536.0,147822.0,61861.0,48783.0,146537.0,146057.0,146700.0,145723.0,146401.0
가양,45978.0,47098.0,36377.0,28016.0,46084.0,46524.0,46569.0,47150.0,47583.0,36452.0,28531.0,46476.0,47201.0,47450.0,45189.0,47424.0,36409.0,27108.0,46317.0,47119.0,46418.0,46251.0,48006.0,34198.0,27567.0,46738.0,47628.0,46951.0,44811.0,45225.0,46281.0,48145.0,34433.0,25704.0,47107.0,46505.0,45649.0,44493.0,47836.0,35866.0,27221.0,46880.0,47314.0,47781.0,46305.0,47384.0,34280.0,25397.0,46284.0,47070.0,46511.0,47818.0,47861.0,34153.0,28597.0,46041.0,46749.0,47256.0,46890.0,48195.0
가좌,10903.0,11281.0,8807.0,6522.0,11268.0,11373.0,11222.0,11249.0,11406.0,8749.0,6473.0,11402.0,11383.0,11270.0,10770.0,11081.0,8354.0,6004.0,11004.0,11145.0,11211.0,10884.0,11976.0,8553.0,6726.0,11155.0,11261.0,11349.0,10961.0,11305.0,11931.0,12043.0,9500.0,7013.0,11952.0,12167.0,11714.0,11500.0,12045.0,10113.0,6671.0,12050.0,12116.0,12044.0,11566.0,11996.0,9303.0,6641.0,11931.0,11986.0,11475.0,12026.0,12296.0,8882.0,6885.0,11776.0,11860.0,11789.0,11714.0,11805.0
강남,213868.0,238084.0,184938.0,110794.0,211245.0,214456.0,220116.0,221433.0,242019.0,191246.0,114539.0,209343.0,215053.0,221603.0,222955.0,236812.0,182511.0,103533.0,208771.0,214304.0,217768.0,219946.0,249426.0,188932.0,113655.0,212809.0,217130.0,220237.0,221557.0,241704.0,219219.0,235734.0,187584.0,114105.0,215622.0,219925.0,220538.0,219463.0,248080.0,191074.0,112302.0,215805.0,219533.0,223432.0,223623.0,249324.0,194116.0,114468.0,217457.0,224705.0,223008.0,230616.0,251748.0,191368.0,115817.0,213039.0,218618.0,221924.0,224797.0,247533.0
강남구청,58142.0,60123.0,41294.0,23957.0,56036.0,57538.0,59014.0,59057.0,59991.0,42604.0,23200.0,56013.0,58917.0,59608.0,57387.0,59273.0,41616.0,22386.0,55528.0,57231.0,58385.0,58907.0,61858.0,42843.0,24202.0,56461.0,58292.0,58736.0,58424.0,61279.0,60129.0,62087.0,41600.0,23348.0,58226.0,60352.0,60499.0,59770.0,62113.0,40991.0,22873.0,58059.0,60613.0,61594.0,61461.0,62212.0,41098.0,22426.0,58399.0,60654.0,60960.0,62371.0,62477.0,42137.0,23257.0,58144.0,60742.0,61412.0,61453.0,62763.0
강동,41868.0,42574.0,35059.0,25321.0,41021.0,42123.0,42086.0,42364.0,42679.0,35978.0,24728.0,41190.0,42447.0,42722.0,41115.0,41624.0,34206.0,21934.0,41338.0,42000.0,42208.0,41674.0,43653.0,35666.0,23407.0,41215.0,42238.0,42813.0,42509.0,42862.0,44005.0,44404.0,35939.0,24477.0,43225.0,44141.0,43010.0,43535.0,44731.0,35293.0,23898.0,43014.0,43741.0,43886.0,43441.0,44231.0,35215.0,23841.0,43076.0,44052.0,43153.0,44873.0,44618.0,35469.0,23259.0,43432.0,43897.0,44472.0,43872.0,44759.0
강동구청,25380.0,26403.0,16552.0,11976.0,25431.0,25414.0,25829.0,25757.0,26001.0,16630.0,11721.0,25443.0,25802.0,26720.0,25477.0,25793.0,16199.0,11441.0,25506.0,25651.0,26330.0,25744.0,27301.0,16591.0,12107.0,25682.0,25734.0,26690.0,25606.0,26754.0,26029.0,26695.0,16272.0,12763.0,25818.0,26104.0,26120.0,26349.0,26584.0,15978.0,11533.0,25887.0,26117.0,26395.0,25950.0,26946.0,15983.0,11534.0,25876.0,26286.0,26296.0,26517.0,26471.0,16290.0,11763.0,25977.0,26039.0,26472.0,26147.0,26620.0
강변,91296.0,111486.0,116778.0,95022.0,94239.0,88636.0,89723.0,93716.0,110754.0,119874.0,94363.0,94320.0,88594.0,91907.0,93841.0,109684.0,109056.0,86565.0,92382.0,88552.0,88613.0,93103.0,113319.0,112293.0,90545.0,95505.0,89676.0,90831.0,93718.0,107555.0,91673.0,110596.0,111837.0,90767.0,91943.0,88362.0,88240.0,88154.0,109100.0,111361.0,87883.0,92510.0,86597.0,90814.0,95479.0,114144.0,114230.0,89022.0,92727.0,88314.0,88443.0,94383.0,110697.0,107003.0,87626.0,93077.0,86256.0,89727.0,90861.0,108049.0
개롱,15698.0,16009.0,11810.0,8201.0,15660.0,15696.0,16218.0,16040.0,16024.0,12355.0,7814.0,15641.0,15538.0,16764.0,15200.0,15857.0,10673.0,7330.0,15815.0,15619.0,16307.0,15797.0,16375.0,11654.0,7528.0,16198.0,15944.0,16419.0,16011.0,16095.0,16144.0,16517.0,11795.0,8604.0,15931.0,16450.0,15767.0,15753.0,16230.0,12295.0,7980.0,16014.0,15798.0,17057.0,16158.0,16108.0,11289.0,7769.0,15963.0,16367.0,16498.0,16600.0,16473.0,12861.0,8365.0,15932.0,15760.0,16208.0,16174.0,16342.0
개봉,54269.0,55594.0,49011.0,34576.0,54759.0,55589.0,55920.0,55143.0,55067.0,49840.0,34853.0,54222.0,54988.0,54923.0,53789.0,54138.0,46144.0,32074.0,53372.0,53817.0,54824.0,54173.0,55642.0,48290.0,34865.0,54525.0,55039.0,55059.0,53558.0,55121.0,55348.0,55585.0,49420.0,35140.0,55166.0,55501.0,55255.0,53139.0,56196.0,49046.0,34167.0,55243.0,55866.0,56014.0,55641.0,55845.0,46711.0,32806.0,54523.0,55324.0,54431.0,54530.0,54420.0,46810.0,33387.0,54397.0,54577.0,55788.0,55011.0,55265.0
개포동,7411.0,8312.0,5623.0,4940.0,7882.0,7634.0,8104.0,7725.0,8551.0,5751.0,4615.0,7427.0,7562.0,8512.0,6983.0,7667.0,5282.0,4016.0,7493.0,7473.0,8023.0,8042.0,8078.0,5693.0,4777.0,7464.0,7498.0,7973.0,7380.0,7795.0,7635.0,8624.0,5554.0,4725.0,7550.0,7468.0,8042.0,7625.0,8365.0,5610.0,4267.0,7447.0,7665.0,8355.0,7631.0,8204.0,5389.0,4341.0,7554.0,7718.0,8322.0,7482.0,7923.0,5933.0,4924.0,7477.0,7822.0,8434.0,7758.0,8172.0
개화,13167.0,13587.0,9289.0,6589.0,14100.0,13518.0,13504.0,13455.0,13554.0,9411.0,6578.0,13662.0,13439.0,13250.0,12984.0,13306.0,8538.0,5773.0,13469.0,13399.0,13572.0,13237.0,13940.0,9149.0,6296.0,13824.0,13515.0,13157.0,12462.0,12510.0,14095.0,14706.0,9743.0,6932.0,14565.0,13966.0,13771.0,13907.0,14129.0,9441.0,6277.0,14295.0,14071.0,13991.0,13771.0,14380.0,9208.0,6287.0,13885.0,13757.0,13529.0,14125.0,13861.0,9422.0,6312.0,13916.0,13793.0,13567.0,13513.0,14071.0
개화산,12913.0,13190.0,9778.0,7223.0,13223.0,13130.0,13184.0,13030.0,13026.0,9667.0,7197.0,12953.0,13095.0,14034.0,12981.0,13132.0,9155.0,6477.0,13087.0,13252.0,13440.0,14208.0,13514.0,8950.0,6969.0,13247.0,13456.0,13455.0,13272.0,12838.0,12986.0,13513.0,9673.0,7187.0,13370.0,13435.0,13240.0,12617.0,13517.0,9447.0,6643.0,13410.0,13505.0,13748.0,13962.0,13443.0,9285.0,6758.0,13118.0,13708.0,13424.0,13570.0,13595.0,9158.0,6660.0,13288.0,13336.0,13653.0,13314.0,13448.0
거여,15553.0,15463.0,10742.0,8033.0,15504.0,15458.0,15506.0,15800.0,15608.0,10902.0,7905.0,15126.0,15716.0,15846.0,14311.0,15244.0,10631.0,7474.0,15053.0,15261.0,15586.0,14534.0,15748.0,10386.0,7957.0,15728.0,15739.0,15965.0,15684.0,15547.0,16505.0,16755.0,11799.0,8528.0,16479.0,17036.0,16783.0,16392.0,17177.0,11482.0,8319.0,16768.0,16950.0,17107.0,16029.0,16695.0,11406.0,8240.0,16819.0,16733.0,16795.0,16875.0,16828.0,11371.0,8394.0,16558.0,16929.0,17007.0,16786.0,17068.0
건대입구,130081.0,147472.0,144824.0,105928.0,126116.0,129588.0,131980.0,134366.0,143753.0,147506.0,101630.0,128507.0,129911.0,135690.0,135088.0,145514.0,139585.0,99903.0,125002.0,131233.0,131182.0,135209.0,149413.0,136718.0,102951.0,128447.0,131399.0,133144.0,132605.0,145342.0,133901.0,149671.0,143353.0,110229.0,125625.0,129238.0,130241.0,126506.0,150318.0,140305.0,100615.0,128384.0,128890.0,133467.0,135922.0,150380.0,170076.0,105038.0,127224.0,130032.0,131012.0,137639.0,147972.0,144485.0,103741.0,129450.0,129344.0,132533.0,131955.0,145284.0
