역명,2018-10-01,2018-10-02,2018-10-03,2018-10-04,2018-10-05,2018-10-06,2018-10-07,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-13,2018-10-14,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-27,2018-10-28,2018-10-29,2018-10-30,2018-10-31,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30
가락시장,41582.0,43946.0,26419.0,42904.0,42918.0,27443.0,20221.0,40856.0,25026.0,42488.0,43006.0,45341.0,32245.0,21068.0,42403.0,42927.0,42456.0,44357.0,45051.0,32700.0,20506.0,41950.0,41314.0,43370.0,43423.0,44057.0,33126.0,19314.0,42526.0,43401.0,43179.0,41452.0,42064.0,42507.0,26173.0,40255.0,30229.0,19510.0,38983.0,44156.0,27525.0,41855.0,44558.0,32353.0,19406.0,41815.0,42744.0,41859.0,42521.0,44820.0,32370.0,20246.0,41614.0,42359.0,42051.0,42728.0,45668.0,33161.0,20599.0,41763.0,42287.0,43109.0
가산디지털단지,146439.0,148465.0,52830.0,145932.0,145525.0,53454.0,46096.0,131820.0,49367.0,146908.0,146534.0,147942.0,62739.0,48055.0,147895.0,145950.0,145768.0,147317.0,144758.0,59251.0,47940.0,146669.0,143671.0,145331.0,146598.0,143497.0,61367.0,45897.0,146649.0,146338.0,147592.0,148148.0,148096.0,148991.0,47804.0,125589.0,55710.0,43942.0,146133.0,149465.0,49329.0,146639.0,148154.0,57043.0,44951.0,148608.0,148859.0,147267.0,146837.0,145787.0,57694.0,44252.0,147885.0,147779.0,147581.0,146863.0,148688.0,58566.0,45895.0,147994.0,148452.0,148761.0
가양,45562.0,47448.0,26327.0,47360.0,46195.0,32795.0,27458.0,45036.0,25960.0,46676.0,47421.0,48881.0,36585.0,29701.0,46344.0,47475.0,46537.0,47069.0,48044.0,35127.0,28053.0,46024.0,45860.0,46476.0,46691.0,47079.0,35927.0,26597.0,46414.0,46881.0,46658.0,47067.0,47762.0,47499.0,27315.0,45981.0,36502.0,27408.0,44477.0,48821.0,27975.0,47948.0,48920.0,36799.0,25990.0,48203.0,48107.0,47635.0,46933.0,48188.0,38508.0,29189.0,47529.0,48326.0,48388.0,47868.0,50027.0,36412.0,26852.0,48076.0,49036.0,48574.0
가좌,11834.0,11911.0,7741.0,11697.0,11447.0,8180.0,7047.0,11563.0,7847.0,11872.0,11915.0,11680.0,9319.0,6973.0,11790.0,11928.0,11743.0,12112.0,12145.0,9780.0,7251.0,11705.0,11645.0,12026.0,12147.0,11705.0,9852.0,6560.0,11873.0,11986.0,11972.0,12489.0,12379.0,12374.0,7781.0,11988.0,9906.0,7146.0,11676.0,12747.0,8909.0,12338.0,12221.0,9265.0,7064.0,12182.0,12480.0,12357.0,12325.0,12687.0,9664.0,7418.0,12360.0,12311.0,12476.0,12467.0,13568.0,10010.0,7667.0,12659.0,12394.0,12681.0
강남,211525.0,230721.0,119459.0,223548.0,242506.0,169392.0,110230.0,225187.0,114827.0,221718.0,224627.0,245000.0,190613.0,112187.0,215168.0,219493.0,222390.0,228137.0,245371.0,184541.0,110140.0,212604.0,213427.0,220378.0,225285.0,241817.0,194629.0,109821.0,211837.0,216533.0,221275.0,208555.0,211483.0,233895.0,118593.0,230734.0,196601.0,103161.0,205985.0,232779.0,117395.0,215403.0,235496.0,192487.0,110655.0,207773.0,215100.0,212967.0,215305.0,234766.0,175499.0,103178.0,207615.0,212341.0,213032.0,217809.0,244265.0,197751.0,121829.0,215489.0,222714.0,219314.0
강남구청,57422.0,61398.0,27572.0,60506.0,61058.0,37141.0,22177.0,54217.0,26019.0,61229.0,61618.0,62624.0,40353.0,23622.0,58205.0,59956.0,60926.0,61444.0,62127.0,41802.0,23499.0,57855.0,59231.0,60637.0,61133.0,61689.0,42786.0,23660.0,57877.0,61048.0,60831.0,61700.0,63077.0,64197.0,28930.0,58298.0,40814.0,23683.0,58914.0,64035.0,29650.0,63022.0,64753.0,41907.0,25274.0,60833.0,62793.0,62821.0,62908.0,63680.0,43091.0,24259.0,60313.0,63292.0,62981.0,62679.0,65169.0,42083.0,25359.0,61332.0,63360.0,63816.0
강동,42624.0,43631.0,25285.0,44063.0,43986.0,30583.0,23447.0,41045.0,25119.0,44097.0,44110.0,44583.0,35238.0,24924.0,42965.0,43843.0,43773.0,45488.0,44413.0,35669.0,24695.0,42654.0,42429.0,43699.0,43595.0,43228.0,36971.0,24583.0,43306.0,43731.0,43706.0,43882.0,44574.0,45459.0,28507.0,41755.0,35224.0,24744.0,42915.0,45283.0,29317.0,44037.0,44351.0,36813.0,26464.0,43784.0,44190.0,43964.0,44149.0,44621.0,38102.0,25608.0,43797.0,44974.0,44357.0,44484.0,46378.0,37626.0,26664.0,44208.0,45334.0,45137.0
강동구청,25841.0,26643.0,13324.0,26392.0,26857.0,14330.0,11622.0,24851.0,12802.0,26434.0,26568.0,27031.0,17091.0,12573.0,26227.0,26420.0,26277.0,26915.0,27540.0,16937.0,11682.0,25907.0,25749.0,27299.0,26124.0,26647.0,16936.0,10894.0,26073.0,26508.0,26209.0,25269.0,25189.0,25854.0,12578.0,24277.0,14974.0,11195.0,24575.0,25559.0,13565.0,25054.0,25491.0,16838.0,11980.0,25142.0,25158.0,25219.0,24972.0,25348.0,16758.0,11553.0,24696.0,25108.0,26317.0,25091.0,25701.0,15818.0,11609.0,25280.0,25217.0,25667.0
강변,91037.0,94142.0,72628.0,92971.0,102361.0,89616.0,83173.0,100118.0,72540.0,91450.0,91693.0,110003.0,112104.0,88000.0,92002.0,89221.0,88903.0,93954.0,109460.0,113211.0,88198.0,91984.0,84834.0,89893.0,94218.0,108601.0,116939.0,87070.0,92104.0,88087.0,90292.0,88551.0,86024.0,93047.0,68476.0,104458.0,104783.0,82323.0,85281.0,90891.0,72275.0,88299.0,104376.0,108769.0,82912.0,89249.0,84402.0,83866.0,87348.0,101595.0,104369.0,80252.0,87205.0,83238.0,84573.0,88049.0,108678.0,114659.0,90037.0,90413.0,86447.0,85318.0
개롱,16064.0,16108.0,8682.0,16635.0,15863.0,10462.0,8089.0,14789.0,9105.0,16115.0,16057.0,16480.0,12198.0,8160.0,16005.0,16526.0,16532.0,16671.0,16537.0,11468.0,8426.0,15971.0,15574.0,16287.0,16331.0,16033.0,12326.0,7798.0,16049.0,16173.0,16216.0,16713.0,16490.0,16725.0,9860.0,15757.0,11319.0,8058.0,16067.0,16593.0,10390.0,16834.0,16866.0,12832.0,8689.0,16779.0,17279.0,16580.0,16570.0,16762.0,12854.0,9167.0,16629.0,16384.0,16846.0,16778.0,17137.0,12312.0,8732.0,16326.0,16259.0,16323.0
