철도운영기관명,선명,역명,역간거리
코레일,수인분당,수내(한국잡월드),1.1
코레일,수인분당,오목천,1.6
코레일,수인분당,송도,2.7
코레일,수인분당,인천,1.1
코레일,수인분당,청량리,
코레일,수인분당,압구정로데오,1.9
코레일,수인분당,선정릉(한국과학창의재단),0.7
코레일,수인분당,선릉,0.7
코레일,수인분당,개포동,0.7
코레일,수인분당,복정(동서울대학),3.2
코레일,수인분당,가천대,2.4
코레일,수인분당,태평,1
코레일,수인분당,모란,0.9
코레일,수인분당,서현,1.4
코레일,수인분당,정자,1.6
코레일,수인분당,미금(분당서울대병원),1.8
코레일,수인분당,오리,1.1
코레일,수인분당,죽전(단국대),1.8
코레일,수인분당,보정,1.3
코레일,수인분당,신갈,1.6
코레일,수인분당,상갈(루터대학교),1.9
코레일,수인분당,청명,2.8
코레일,수인분당,영통(경희대),1.1
코레일,수인분당,망포,1.5
코레일,수인분당,수원시청(경기도문화의전당),1.4
코레일,수인분당,매교,1.4
코레일,수인분당,수원,1.5
코레일,수인분당,어천,5.1
코레일,수인분당,야목,2.6
코레일,수인분당,사리,4.7
코레일,수인분당,한대앞,
코레일,수인분당,중앙,1.6
코레일,수인분당,고잔,
코레일,수인분당,초지,
코레일,수인분당,안산,1.8
코레일,수인분당,신길온천,
코레일,수인분당,정왕,
코레일,수인분당,오이도,
코레일,수인분당,월곶,1.5
코레일,수인분당,소래포구,1.3
코레일,수인분당,남동인더스파크,1.3
코레일,수인분당,원인재,1
코레일,수인분당,신포,1.5
코레일,수인분당,왕십리,
코레일,수인분당,서울숲,2.2
코레일,수인분당,강남구청,1.2
코레일,수인분당,한티,1.1
코레일,수인분당,도곡,0.7
코레일,수인분당,구룡,0.6
코레일,수인분당,대모산입구,0.6
코레일,수인분당,수서,3.2
코레일,수인분당,야탑,2.3
코레일,수인분당,이매(성남아트센터),1.7
코레일,수인분당,구성,1.6
코레일,수인분당,기흥(백남준아트센터),1.4
코레일,수인분당,매탄권선,1.8
코레일,수인분당,고색,2.7
코레일,수인분당,달월,2.1
코레일,수인분당,인천논현,1
코레일,수인분당,호구포,1.3
코레일,수인분당,연수,0.9
코레일,수인분당,인하대,2.4
코레일,수인분당,숭의(인하대병원),1.8
