선명,역명,역간거리
1,청량리,1.4
1,제기동,1
1,신설동,0.9
1,동묘앞,0.7
1,동대문,0.6
1,종로5가,0.8
1,종로3가,0.9
1,종각,0.8
1,시청,1
1,서울역,1.1
2,시청,0
2,을지로입구,0.7
2,을지로3가,0.8
2,을지로4가,0.6
2,동대문역사문화공원,1
2,신당,0.9
2,상왕십리,0.9
2,왕십리,0.8
2,한양대,1
2,뚝섬,1.1
2,성수,0.8
2,건대입구,1.2
2,구의,1.6
2,강변,0.9
2,잠실나루,1.8
2,잠실,1
2,잠실새내,1.2
2,종합운동장,1.2
2,삼성,1
2,선릉,1.3
2,역삼,1.2
2,강남,0.8
2,교대,1.2
2,서초,0.7
2,방배,1.7
2,사당,1.6
2,낙성대,1.7
2,서울대입구,1
2,봉천,1
2,신림,1.1
2,신대방,1.8
2,구로디지털단지,1.1
2,대림,1.1
2,신도림,1.8
2,문래,1.2
2,영등포구청,0.9
2,당산,1.1
2,합정,2
2,홍대입구,1.1
2,신촌,1.3
2,이대,0.8
2,아현,0.9
2,충정로,0.8
2,시청,1.1
3,지축,1.7
3,구파발,1.5
3,연신내,2
3,불광,1.3
3,녹번,1.1
3,홍제,1.6
3,무악재,0.9
3,독립문,1.1
3,경복궁,1.6
3,안국,1.1
3,종로3가,1
3,을지로3가,0.6
3,충무로,0.7
3,동대입구,0.9
3,약수,0.7
3,금호,0.8
3,옥수,0.8
3,압구정,2.1
3,신사,1.5
3,잠원,0.9
3,고속터미널,1.2
3,교대,1.6
3,남부터미널,0.9
3,양재,1.8
3,매봉,1.2
3,도곡,0.8
3,대치,0.8
3,학여울,0.8
3,대청,0.9
3,일원,1.2
3,수서,1.8
3,가락시장,1.4
3,경찰병원,0.8
3,오금,0.8
4,당고개,0
4,상계,1.2
4,노원,1
4,창동,1.4
4,쌍문,1.3
4,수유,1.5
4,미아,1.4
4,미아사거리,1.5
4,길음,1.3
4,성신여대입구,1.4
4,한성대입구,1
4,혜화,0.9
4,동대문,1.5
4,동대문역사문화공원,0.7
4,충무로,1.3
4,명동,0.7
4,회현,0.7
4,서울역,0.9
4,숙대입구,1
4,삼각지,1.2
4,신용산,0.7
4,이촌,1.3
4,동작,2.7
4,이수,1.8
4,사당,1.1
4,남태령,1.6
5,방화,0
5,개화산,0.9
5,김포공항,1.2
5,송정,1.2
5,마곡,1.1
5,발산,1.2
5,우장산,1.1
5,화곡,1
5,까치산,1.2
5,신정,1.3
5,목동,0.8
5,오목교,0.9
5,양평,1.1
5,영등포구청,0.8
5,영등포시장,0.9
5,신길,1.1
5,여의도,1
5,여의나루,1
5,마포,1.8
5,공덕,0.8
5,애오개,1.1
5,충정로,0.9
5,서대문,0.7
5,광화문,1.1
5,종로3가,1.2
5,을지로4가,1
5,동대문역사문화공원,0.9
5,청구,0.9
5,신금호,0.9
5,행당,0.8
5,왕십리,0.9
5,마장,0.7
5,답십리,1
5,장한평,1.2
5,군자,1.5
5,아차산,1
5,광나루,1.5
5,천호,2
5,강동,0.8
5,길동,0.9
5,굽은다리,0.8
5,명일,0.7
5,고덕,1.2
5,상일동,1.1
6,응암,0
6,역촌,1.1
6,불광,0.8
6,독바위,0.9
6,연신내,1.4
6,구산,0.9
6,응암,1.5
6,새절,0.9
6,증산,0.9
6,디지털미디어시티,1.1
6,월드컵경기장,0.8
6,마포구청,0.8
6,망원,1
6,합정,0.8
6,상수,0.8
6,광흥창,0.9
6,대흥,1
6,공덕,0.9
6,효창공원앞,0.9
6,삼각지,1.2
6,녹사평,1.1
6,이태원,0.8
6,한강진,1
6,버티고개,1
6,약수,0.7
6,청구,0.8
6,신당,0.7
6,동묘앞,0.6
6,창신,0.9
6,보문,0.8
6,안암,0.9
6,고려대,0.8
6,월곡,1.4
6,상월곡,0.8
6,돌곶이,0.8
6,석계,1
6,태릉입구,0.8
6,화랑대,0.9
6,봉화산,0.7
6,신내,1.3
7,장암,0
7,도봉산,1.4
7,수락산,1.6
7,마들,1.4
7,노원,1.2
7,중계,1.1
7,하계,1
7,공릉,1.3
7,태릉입구,0.8
7,먹골,0.9
7,중화,0.9
7,상봉,1
7,면목,0.8
7,사가정,0.9
7,용마산,0.8
7,중곡,0.9
7,군자,1.1
7,어린이대공원,1.1
7,건대입구,0.8
7,뚝섬유원지,1
7,청담,2
7,강남구청,1.1
7,학동,0.9
7,논현,1
7,반포,0.9
7,고속터미널,0.9
7,내방,2.2
7,이수,1
7,남성,1
7,숭실대입구,2
7,상도,0.9
7,장승배기,0.9
7,신대방삼거리,1.2
7,보라매,0.8
