연번,호선,역명,역간거리(km),호선별누계(km)
1,1,서울역,0,0
2,1,시청,1.1,1.1
3,1,종각,1,2.1
4,1,종로3가,0.8,2.9
5,1,종로5가,0.9,3.8
6,1,동대문,0.8,4.6
7,1,동묘앞,0.6,5.2
8,1,신설동,0.7,5.9
9,1,제기동,0.9,6.8
10,1,청량리(서울시립대입구),1,7.8
11,2,시청,0,0
12,2,을지로입구,0.7,0.7
13,2,을지로3가,0.8,1.5
14,2,을지로4가,0.6,2.1
15,2,동대문역사문화공원(DDP),1,3.1
16,2,신당,0.9,4
17,2,상왕십리,0.9,4.9
18,2,왕십리(성동구청),0.8,5.7
19,2,한양대,1,6.7
20,2,뚝섬,1.1,7.8
21,2,성수,0.8,8.6
22,2,건대입구,1.2,9.8
23,2,구의(광진구청),1.6,11.4
24,2,강변(동서울터미널),0.9,12.3
25,2,잠실나루,1.8,14.1
26,2,잠실(송파구청),1,15.1
27,2,잠실새내,1.2,16.3
28,2,종합운동장,1.2,17.5
29,2,삼성(무역센터),1,18.5
30,2,선릉,1.3,19.8
31,2,역삼,1.2,21
32,2,강남,0.8,21.8
33,2,교대(법원·검찰청),1.2,23
34,2,서초,0.7,23.7
35,2,방배,1.7,25.4
36,2,사당,1.6,27
37,2,낙성대(강감찬),1.7,28.7
38,2,서울대입구(관악구청),1,29.7
39,2,봉천,1,30.7
40,2,신림,1.1,31.8
41,2,신대방,1.8,33.6
42,2,구로디지털단지,1.1,34.7
43,2,대림(구로구청),1.1,35.8
44,2,신도림,1.8,37.6
45,2,문래,1.2,38.8
46,2,영등포구청,0.9,39.7
47,2,당산,1.1,40.8
48,2,합정,2,42.8
49,2,홍대입구,1.1,43.9
50,2,신촌,1.3,45.2
51,2,이대,0.8,46
52,2,아현,0.9,46.9
53,2,충정로(경기대입구),0.8,47.7
54,2,시청,1.1,48.8
55,2,용답,2.3,51.1
56,2,신답,1,52.1
57,2,용두(동대문구청),0.9,53
