"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20210301","중앙선","양평","1418","1175","20210304",""
"20210301","경원선","덕계","1186","1077","20210304",""
"20210301","7호선","신풍","4593","4575","20210304",""
"20210301","중앙선","국수","302","246","20210304",""
"20210301","중앙선","아신","304","255","20210304",""
"20210301","중앙선","오빈","133","126","20210304",""
"20210301","1호선","서울역","22275","17654","20210304",""
"20210301","1호선","동묘앞","3236","3447","20210304",""
"20210301","1호선","시청","5813","5816","20210304",""
"20210301","1호선","종각","9717","8760","20210304",""
"20210301","1호선","종로3가","10584","10291","20210304",""
"20210301","1호선","종로5가","10444","10040","20210304",""
"20210301","1호선","동대문","6514","6310","20210304",""
"20210301","1호선","신설동","4997","5134","20210304",""
"20210301","1호선","제기동","6698","6883","20210304",""
"20210301","1호선","청량리(서울시립대입구)","8871","8999","20210304",""
"20210301","2호선","시청","4299","3612","20210304",""
"20210301","2호선","을지로입구","12152","12014","20210304",""
"20210301","2호선","을지로3가","5095","4386","20210304",""
"20210301","2호선","을지로4가","3831","3741","20210304",""
"20210301","2호선","동대문역사문화공원(DDP)","6084","6959","20210304",""
"20210301","2호선","신당","6691","7157","20210304",""
"20210301","2호선","상왕십리","5878","5835","20210304",""
"20210301","2호선","왕십리(성동구청)","7270","6372","20210304",""
"20210301","2호선","한양대","1881","2048","20210304",""
"20210301","2호선","뚝섬","5833","6090","20210304",""
"20210301","2호선","성수","8846","9674","20210304",""
"20210301","2호선","건대입구","17956","18594","20210304",""
"20210301","2호선","구의(광진구청)","8893","9348","20210304",""
"20210301","2호선","강변(동서울터미널)","16252","14849","20210304",""
"20210301","2호선","잠실나루","3914","4018","20210304",""
"20210301","2호선","잠실(송파구청)","33350","31732","20210304",""
"20210301","2호선","잠실새내","8860","8990","20210304",""
"20210301","2호선","종합운동장","2532","2817","20210304",""
"20210301","2호선","삼성(무역센터)","16596","15799","20210304",""
"20210301","2호선","선릉","12022","10951","20210304",""
"20210301","2호선","역삼","10915","11811","20210304",""
"20210301","2호선","강남","27490","26223","20210304",""
"20210301","2호선","교대(법원.검찰청)","8367","9408","20210304",""
"20210301","2호선","서초","4741","4238","20210304",""
"20210301","2호선","방배","5024","5233","20210304",""
"20210301","2호선","사당","14316","15901","20210304",""
"20210301","2호선","낙성대(강감찬)","11340","12326","20210304",""
"20210301","2호선","서울대입구(관악구청)","20234","20689","20210304",""
"20210301","2호선","봉천","9623","9567","20210304",""
"20210301","2호선","신림","28161","28557","20210304",""
"20210301","2호선","신대방","11412","11628","20210304",""
"20210301","2호선","구로디지털단지","19089","19818","20210304",""
"20210301","2호선","대림(구로구청)","10615","10933","20210304",""
"20210301","2호선","신도림","20982","20831","20210304",""
"20210301","2호선","문래","5787","6097","20210304",""
"20210301","2호선","영등포구청","6455","6689","20210304",""
"20210301","2호선","당산","5635","6601","20210304",""
"20210301","2호선","합정","13403","13972","20210304",""
"20210301","2호선","홍대입구","28979","28407","20210304",""
"20210301","2호선","신촌","16423","15899","20210304",""
"20210301","2호선","이대","5312","5670","20210304",""
"20210301","2호선","아현","4103","4074","20210304",""
"20210301","2호선","충정로(경기대입구)","3131","3196","20210304",""
"20210301","2호선","용답","1196","1306","20210304",""
"20210301","2호선","신답","562","642","20210304",""
"20210301","2호선","신설동","1571","1502","20210304",""
"20210301","2호선","도림천","504","536","20210304",""
"20210301","2호선","양천구청","2389","2478","20210304",""
"20210301","2호선","신정네거리","3852","4126","20210304",""
"20210301","2호선","용두(동대문구청)","960","986","20210304",""
"20210301","3호선","지축","1262","1264","20210304",""
"20210301","3호선","구파발","7685","7792","20210304",""
"20210301","3호선","연신내","15949","15585","20210304",""
"20210301","3호선","불광","6512","7437","20210304",""
"20210301","3호선","녹번","5399","5028","20210304",""
"20210301","3호선","홍제","6898","6919","20210304",""
"20210301","3호선","무악재","1490","1579","20210304",""
"20210301","3호선","독립문","2989","3049","20210304",""
"20210301","3호선","경복궁(정부서울청사)","5764","5887","20210304",""
"20210301","3호선","안국","5866","6217","20210304",""
"20210301","3호선","종로3가","2890","3580","20210304",""
"20210301","3호선","을지로3가","2661","2436","20210304",""
"20210301","3호선","동대입구","3251","3413","20210304",""
"20210301","3호선","약수","5154","4896","20210304",""
"20210301","3호선","금호","3339","3273","20210304",""
"20210301","3호선","옥수","3556","3880","20210304",""
"20210301","3호선","압구정","10036","10564","20210304",""
"20210301","3호선","신사","9803","9885","20210304",""
"20210301","3호선","잠원","1618","1719","20210304",""
"20210301","3호선","고속터미널","34033","28463","20210304",""
"20210301","3호선","교대(법원.검찰청)","3335","2169","20210304",""
"20210301","3호선","남부터미널(예술의전당)","12276","11936","20210304",""
"20210301","3호선","양재(서초구청)","9552","11591","20210304",""
"20210301","3호선","매봉","3137","3197","20210304",""
"20210301","3호선","도곡","1728","1815","20210304",""
"20210301","3호선","대치","4902","4623","20210304",""
"20210301","3호선","학여울","606","614","20210304",""
"20210301","3호선","대청","3185","3134","20210304",""
"20210301","3호선","일원","2356","2531","20210304",""
"20210301","3호선","수서","8167","7405","20210304",""
"20210301","3호선","가락시장","3375","3291","20210304",""
"20210301","3호선","경찰병원","2223","2396","20210304",""
"20210301","3호선","오금","1929","1970","20210304",""
"20210301","4호선","수유(강북구청)","15885","15648","20210304",""
"20210301","4호선","미아(서울사이버대학)","6408","6410","20210304",""
"20210301","4호선","미아사거리","12848","12499","20210304",""
"20210301","4호선","길음","7836","7693","20210304",""
