"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20211101","1호선","동대문","10855","10327","20211104"
"20211101","1호선","신설동","13933","13614","20211104"
"20211101","1호선","제기동","17584","17948","20211104"
"20211101","1호선","청량리(서울시립대입구)","19604","19787","20211104"
"20211101","2호선","시청","23006","22704","20211104"
"20211101","2호선","을지로입구","37349","38597","20211104"
"20211101","2호선","을지로3가","21528","21600","20211104"
"20211101","2호선","을지로4가","13048","12920","20211104"
"20211101","2호선","동대문역사문화공원(DDP)","11200","12591","20211104"
"20211101","2호선","신당","13503","13846","20211104"
"20211101","2호선","상왕십리","14180","13777","20211104"
"20211101","2호선","왕십리(성동구청)","15041","12249","20211104"
"20211101","2호선","한양대","8016","8780","20211104"
"20211101","2호선","뚝섬","20908","22631","20211104"
"20211101","2호선","성수","36468","39643","20211104"
"20211101","2호선","건대입구","31971","34714","20211104"
"20211101","2호선","구의(광진구청)","23366","23151","20211104"
"20211101","2호선","강변(동서울터미널)","29653","28426","20211104"
"20211101","2호선","잠실나루","14725","14375","20211104"
"20211101","장항선","봉명","1247","1205","20211104"
"20211101","일산선","대화","13017","10117","20211104"
"20211101","일산선","주엽","9212","8994","20211104"
"20211101","일산선","정발산","6948","7072","20211104"
"20211101","일산선","마두","7631","7675","20211104"
"20211101","일산선","백석","9734","9840","20211104"
"20211101","일산선","대곡","1913","1511","20211104"
"20211101","일산선","화정","17128","17388","20211104"
"20211101","일산선","원당","11405","10685","20211104"
"20211101","일산선","삼송","19093","18501","20211104"
"20211101","일산선","원흥","10812","10239","20211104"
"20211101","우이신설선","신설동","2243","2163","20211104"
"20211101","우이신설선","보문","1495","1473","20211104"
"20211101","우이신설선","성신여대입구(돈암)","3192","3480","20211104"
"20211101","우이신설선","정릉","4607","4251","20211104"
"20211101","우이신설선","북한산보국문","5919","5630","20211104"
"20211101","우이신설선","솔샘","5795","5382","20211104"
"20211101","우이신설선","삼양사거리","2514","2530","20211104"
"20211101","우이신설선","삼양","2125","2197","20211104"
"20211101","우이신설선","화계","3343","3204","20211104"
"20211101","우이신설선","가오리","4088","4085","20211104"
"20211101","우이신설선","4.19민주묘지","3024","2824","20211104"
"20211101","우이신설선","솔밭공원","2379","2311","20211104"
"20211101","공항철도 1호선","검암","7023","6776","20211104"
"20211101","공항철도 1호선","계양","10217","9520","20211104"
"20211101","공항철도 1호선","김포공항","11894","7163","20211104"
"20211101","공항철도 1호선","마곡나루(서울식물원)","8675","8475","20211104"
"20211101","공항철도 1호선","디지털미디어시티","14181","12993","20211104"
"20211101","공항철도 1호선","홍대입구","8344","8440","20211104"
"20211101","공항철도 1호선","공덕","2314","2867","20211104"
"20211101","공항철도 1호선","서울역","7242","6910","20211104"
"20211101","경춘선","춘천","1741","1704","20211104"
"20211101","경춘선","남춘천","2430","2693","20211104"
"20211101","경춘선","김유정","323","312","20211104"
"20211101","경춘선","강촌","482","435","20211104"
"20211101","경춘선","백양리","91","86","20211104"
"20211101","경춘선","굴봉산","171","150","20211104"
"20211101","경춘선","가평","2017","1936","20211104"
"20211101","경춘선","상천","278","260","20211104"
"20211101","경춘선","청평","1585","1543","20211104"
"20211101","경춘선","대성리","510","425","20211104"
"20211101","경춘선","마석","4088","4016","20211104"
"20211101","경춘선","천마산","1829","1629","20211104"
"20211101","경춘선","평내호평","6591","6154","20211104"
"20211101","경춘선","금곡","1612","1520","20211104"
"20211101","경춘선","사릉","3689","3433","20211104"
"20211101","경춘선","퇴계원","3679","3410","20211104"
"20211101","경춘선","별내","3536","3317","20211104"
"20211101","경춘선","갈매","3268","2812","20211104"
"20211101","경춘선","신내","2120","1966","20211104"
"20211101","경인선","도화","4179","3812","20211104"
"20211101","경인선","중동","9528","9010","20211104"
"20211101","경인선","온수(성공회대입구)","7090","6703","20211104"
"20211101","경인선","도원","3368","3331","20211104"
"20211101","경인선","간석","6054","5670","20211104"
"20211101","경인선","부개","8829","8110","20211104"
"20211101","경인선","소사","9025","8894","20211104"
"20211101","경인선","구일","6591","6587","20211104"
"20211101","경인선","인천","3566","2627","20211104"
"20211101","경인선","동인천","13807","12986","20211104"
"20211101","경인선","제물포","11022","10534","20211104"
"20211101","경인선","주안","18775","17057","20211104"
"20211101","경인선","동암","14846","14807","20211104"
"20211101","경인선","백운","7228","6995","20211104"
"20211101","경인선","부평","28148","30393","20211104"
"20211101","경인선","송내","27279","27036","20211104"
"20211101","경인선","부천","32523","32302","20211104"
"20211101","경인선","역곡","28406","27990","20211104"
"20211101","경인선","오류동","12302","11559","20211104"
"20211101","경인선","개봉","21724","21708","20211104"
"20211101","경의선","계양","2","0","20211104"
"20211101","경의선","임진강","16","6","20211104"
"20211101","경의선","문산","5053","4955","20211104"
"20211101","경의선","파주","1697","1194","20211104"
"20211101","경의선","월롱","2676","2766","20211104"
"20211101","경의선","금촌","6846","6856","20211104"
"20211101","경의선","금릉","4780","4606","20211104"
"20211101","경의선","운정","7254","6654","20211104"
"20211101","경의선","야당","7165","6947","20211104"
"20211101","경의선","탄현","7974","7420","20211104"
"20211101","경의선","일산","9635","9293","20211104"
"20211101","경의선","풍산","5621","5320","20211104"
"20211101","경의선","백마","7200","6661","20211104"
"20211101","경의선","곡산","628","659","20211104"
"20211101","경의선","능곡","3894","3578","20211104"
"20211101","경의선","행신","8100","8019","20211104"
"20211101","경의선","강매","3315","2877","20211104"
"20211101","경의선","화전","1906","1783","20211104"
"20211101","경의선","수색","2874","2947","20211104"
"20211101","경의선","디지털미디어시티","2546","2323","20211104"
"20211101","경의선","가좌","5567","5195","20211104"
"20211101","경의선","홍대입구","1477","1686","20211104"
"20211101","경의선","서강대","2118","2004","20211104"
"20211101","경의선","공덕","3447","3267","20211104"
"20211101","경의선","효창공원앞","2894","3316","20211104"
"20211101","경의선","신촌","874","1075","20211104"
"20211101","경의선","서울역","4438","5635","20211104"
"20211101","경원선","소요산","4016","3439","20211104"
"20211101","경원선","동두천","2065","2305","20211104"
"20211101","경원선","보산","1641","1387","20211104"
"20211101","경원선","동두천중앙","3249","3014","20211104"
"20211101","경원선","지행","6471","6414","20211104"
"20211101","경원선","덕정","5767","5635","20211104"
"20211101","경원선","덕계","3216","2869","20211104"
"20211101","경원선","양주","8130","7557","20211104"
"20211101","경원선","녹양","4549","4303","20211104"
"20211101","경원선","가능","6696","6393","20211104"
"20211101","경원선","의정부","17620","18076","20211104"
"20211101","경원선","회룡","12687","12396","20211104"
"20211101","경원선","망월사","7687","7852","20211104"
"20211101","경원선","도봉산","8305","5405","20211104"
"20211101","경원선","도봉","6214","5911","20211104"
"20211101","경원선","방학","9797","9453","20211104"
"20211101","경원선","녹천","4731","3945","20211104"
"20211101","경원선","월계","7093","6620","20211104"
"20211101","경원선","광운대","8721","8531","20211104"
"20211101","경원선","석계","7920","9219","20211104"
"20211101","경원선","신이문","8555","7810","20211104"
"20211101","경원선","외대앞","8190","8390","20211104"
"20211101","경원선","청량리(서울시립대입구)","14987","15313","20211104"
"20211101","경원선","왕십리(성동구청)","13399","15286","20211104"
"20211101","경원선","응봉","1919","1586","20211104"
"20211101","경원선","옥수","54","46","20211104"
"20211101","경원선","한남","4140","3854","20211104"
"20211101","경원선","서빙고","1893","1711","20211104"
"20211101","경원선","이촌(국립중앙박물관)","3702","2880","20211104"
"20211101","경부선","광명","3401","2847","20211104"
"20211101","경부선","서동탄","1488","1283","20211104"
"20211101","경부선","당정","6398","6075","20211104"
"20211101","경부선","천안","5510","5752","20211104"
"20211101","경부선","두정","5170","5478","20211104"
"20211101","경부선","직산","815","763","20211104"
"20211101","경부선","성환","4626","4935","20211104"
"20211101","경부선","평택","12064","12055","20211104"
"20211101","경부선","평택지제","3280","3145","20211104"
"20211101","경부선","서정리","7151","6982","20211104"
"20211101","경부선","송탄","4232","4029","20211104"
"20211101","경부선","진위","1577","1411","20211104"
"20211101","경부선","오산","9912","9978","20211104"
"20211101","경부선","오산대","3661","3392","20211104"
"20211101","경부선","세마","2839","2624","20211104"
"20211101","경부선","병점","14538","14251","20211104"
"20211101","경부선","세류","3004","2719","20211104"
"20211101","경부선","독산","18661","19487","20211104"
"20211101","경부선","수원","33385","35838","20211104"
"20211101","경부선","화서","8109","7652","20211104"
"20211101","경부선","성균관대","14553","14619","20211104"
"20211101","경부선","의왕","9252","9355","20211104"
"20211101","경부선","군포","7837","7865","20211104"
"20211101","경부선","금정","26715","27034","20211104"
"20211101","경부선","명학","9458","9366","20211104"
"20211101","경부선","안양","24309","24093","20211104"
"20211101","경부선","관악","7409","6702","20211104"
"20211101","경부선","석수","9962","8957","20211104"
"20211101","경부선","금천구청","12177","11863","20211104"
"20211101","경부선","가산디지털단지","18801","21856","20211104"
"20211101","경부선","구로","19003","19473","20211104"
"20211101","경부선","신길","9329","8024","20211104"
"20211101","경부선","신도림","4236","4291","20211104"
"20211101","경부선","영등포","35237","36608","20211104"
"20211101","경부선","대방","13022","13438","20211104"
"20211101","경부선","노량진","7972","8322","20211104"
"20211101","경부선","용산","32247","32410","20211104"
"20211101","경부선","남영","9310","9779","20211104"
