역명,월,화,수,목,금,토,일
석촌,21780.0,20437.4,20491.2,22703.0,23150.5,15869.75,11908.75
올림픽공원,13912.0,13831.0,15622.4,13607.5,14266.0,19333.75,18535.0
종합운동장,38018.6,39219.8,42645.4,43446.5,54613.75,71782.75,50960.75
잠실,216959.8,210167.4,213732.8,223252.75,244101.0,228716.5,171261.5
송파,12720.6,11758.0,12000.4,13082.75,13243.5,8720.75,6124.0
둔촌동,22527.8,21069.0,21607.8,22969.75,23234.25,16759.0,13894.75
방이,16615.0,15799.8,15871.2,17377.75,17326.5,12489.75,9530.25
잠실새내,56584.4,53781.8,53926.4,58457.75,63300.25,52171.5,34875.75
삼성,123762.4,116949.8,122016.8,140578.5,148823.25,94718.75,66442.5
선정릉,35618.0,32016.6,32525.0,37506.5,37693.0,21604.25,12891.25
